Date,Open,High,Low,Close,Volume
1/1/2024,100.4849,109.4664,99.8111,108.0804,5436530.588
1/2/2024,108.0706,117.0024,106.6939,108.0088,9790493.997
1/3/2024,108.0309,109.9195,83.4362,98.80424,12349482.85
1/4/2024,99.0187,108.1512,96.86914,104.7974,9636930.929
1/5/2024,104.8247,105.4755,95.42541,99.3183,9733776.922
1/6/2024,99.29828,100.51344,91.85628,93.43613,7942885.132
1/7/2024,93.50007,96.76062,88.471,89.2771,7207200.759
1/8/2024,89.29711,99.97851,85.27602,97.89135,12834620.15
1/9/2024,98.0609,104.68135,95.48342,99.60097,10263935.52
1/10/2024,99.55075,104.3599,92.27189,103.3204,10682981.49
1/11/2024,103.2958,107.2039,97.70445,100.3021,13485579.74
1/12/2024,100.2949,100.8992,86.66418,90.20053,7909932.431
1/13/2024,90.23402,96.9804,89.50941,96.17581,6516722.417
1/14/2024,96.217,102.7554,94.33016,96.63089,8804193.416
1/15/2024,96.58372,96.88477,93.0387,94.11344,5602210.573
1/16/2024,94.12333,98.68122,93.83182,98.14419,5106757.326
1/17/2024,98.1342,102.6538,96.74676,101.1986,10423248.61
1/18/2024,101.2387,103.4134,91.45026,94.57428,8887332.887
1/19/2024,94.56449,95.33546,86.98467,93.62712,8107438.57
1/20/2024,93.60714,94.15537,90.18492,93.15205,4415564.514
1/21/2024,93.17264,93.84956,91.18242,91.50333,2996656.694
1/22/2024,91.47482,91.83199,83.447,84.06515,7874691.151
1/23/2024,83.98374,85.8712,78.91213,82.57027,9809998.555
1/24/2024,82.60871,88.44289,82.54637,87.27382,8326584.403
1/25/2024,87.32447,89.58505,85.0922,87.23287,5551276.921
1/26/2024,87.29274,93.66564,85.96603,92.25072,5801553.369
1/27/2024,92.22053,93.69698,90.70276,93.63916,3636935.375
1/28/2024,93.67916,98.55926,93.44897,95.07269,7420715.647
1/29/2024,95.07489,101.7073,94.52781,100.9199,5966884.183
1/30/2024,100.9011,106.4001,100.69,103.4991,8981532.871
1/31/2024,103.5089,103.9389,95.88679,97.7971,11438747.85
2/1/2024,97.78511,98.01656,93.07419,97.12173,9385364.518
2/2/2024,97.17171,102.4833,96.96197,100.19687,7253213.645
2/3/2024,100.23685,101.1633,96.59415,97.80603,3840253.835
2/4/2024,97.79664,98.52364,95.04672,95.70893,3172291.224
2/5/2024,95.34591,98.59119,94.13802,94.67591,4895965.354
2/6/2024,94.69009,97.83781,93.10038,97.42891,5707553.075
2/7/2024,97.42891,100.9697,94.63518,100.8398,5880414.577
2/8/2024,100.8397,104.901,100.514,102.8016,8098049.344
2/9/2024,102.8094,109.0487,102.6106,107.9427,9452022.216
2/10/2024,107.9458,110.91,106.7865,109.338,5023277.755
2/11/2024,109.4118,110.6953,107.3091,107.4059,3752603.213
2/12/2024,107.5813,111.7625,103.5015,111.539,8009229.788
2/13/2024,111.5244,114.9882,109.0831,112.1936,8016226.666
2/14/2024,112.0892,118.6786,110.7487,117.1688,6323642.43
2/15/2024,117.179,118.4801,111.6395,112.0595,7595787.782
2/16/2024,112.1376,114.3261,108.1058,109.7944,6297495.386
2/17/2024,109.8044,111.1389,106.7762,107.0735,3719882.067
2/18/2024,111.8312,114.0639,111.4023,112.8024,1312841.72
2/19/2024,112.8424,114.798,110.7655,112.1468,5160828.738
2/20/2024,112.0759,112.2959,103.52,108.9206,7984283.105
2/21/2024,108.9617,109.6966,100.2444,104.5501,7162245.983
2/22/2024,104.5772,107.0683,102.0611,103.0471,5421707.385
2/23/2024,103.0771,103.1107,98.8779,99.8725,3688386.541
2/24/2024,99.9161,104.7087,98.54212,104.18,2643851.03
2/25/2024,104.1889,104.4163,102.0712,103.4758,2264394.22
2/26/2024,103.5125,110.863,100.2928,109.8212,6739684.343
2/27/2024,109.8013,112.3484,105.4037,108.5823,6776314.749
2/28/2024,108.5533,117.8429,107.3741,115.711,13944787.2
2/29/2024,115.8305,134.6839,115.7786,123.6529,20347933.1
3/1/2024,123.763,137.812,123.5616,130.7706,11931061.98
3/2/2024,130.8594,131.7485,127.3327,128.4257,6262328.157
3/3/2024,128.4257,132.1594,124.413,130.9989,7202660.468
3/4/2024,131.0088,135.0029,127.5183,130.9339,9798583.459
3/5/2024,130.9439,142.4782,107.0946,121.9341,18760883.5
3/6/2024,121.9541,134.8992,120.2021,130.7453,11202804.77
3/7/2024,130.7453,149.4986,130.3451,144.967,15664366.73
3/8/2024,144.957,152.7046,142.2092,144.4705,10040494.4
3/9/2024,144.459,149.475,143.9719,145.271,4874418.038
3/10/2024,145.2828,148.7295,140.736,141.9809,5516448.702
3/11/2024,142.2417,150.2065,136.8628,147.8896,9711362.815
3/12/2024,147.8481,155.0155,141.7556,148.3704,10042198.88
3/13/2024,148.3604,166.835,147.9318,163.5401,9177141.402
3/14/2024,163.5517,174.0857,160.17,172.8695,8364225.997
3/15/2024,172.8395,188.9082,164.9026,184.0966,21088249.12
3/16/2024,184.1766,197.9083,176.9808,180.9732,15981520.7
3/17/2024,180.8932,204.8893,176.8099,201.0414,13593965.44
3/18/2024,201.0514,209.9382,193.684,198.1381,15453602.25
3/19/2024,198.1381,199.814,165.952,169.141,15077094.3
3/20/2024,169.0811,188.7815,162.9739,187.9881,14253041.05
3/21/2024,188.5098,191.4181,175.8354,178.269,3829131.136
3/22/2024,178.259,181.8482,168.1083,170.3375,6650654.044
3/23/2024,170.3375,178.9554,170.2775,174.75,5249571.361
3/24/2024,174.69,185.02,171.3563,184.9188,4666487.666
3/25/2024,184.949,194.5126,181.001,190.9585,8095306.611
3/26/2024,191.0587,196.5008,186.429,192.2018,10488186.44
3/27/2024,192.3939,192.5531,180.1098,186.8526,11214460.64
3/28/2024,186.8526,189.98,180.8215,189.98,8125303.108
3/29/2024,189.98,192.4105,183.4612,192.2623,8678416.56
3/30/2024,192.2623,199.974,190.9928,196.2366,9429940.001
3/31/2024,196.2166,200.9502,193.4472,199.514,5960203.326
4/1/2024,199.494,204.2991,187.0477,192.6433,10377307.04
4/2/2024,192.7312,193.7698,176.2031,183.7134,10015592.91
4/3/2024,183.9235,191.9258,176.9855,185.2638,11513900.18
4/4/2024,185.2836,190.185,180.2925,181.9336,8865930.517
4/5/2024,182.0036,185.1695,168.1003,175.3097,12782942.69
4/6/2024,175.2244,178.8938,173.6519,177.7945,5084780.579
4/7/2024,177.7644,182.6843,177.1726,177.8361,6237446.806
4/8/2024,177.9161,184.6113,175.3948,181.299,8940799.605
4/9/2024,181.3492,181.4408,169.1631,174.0415,5589199.68
4/10/2024,174.039,174.1432,162.5845,172.6449,5352421.661
4/11/2024,172.6547,176.2799,170.1663,172.4622,4950119.825
4/12/2024,172.6137,175.9287,143.3795,151.8839,8371315.543
4/13/2024,151.9642,154.9365,115.6221,133.2779,17029073.72
4/14/2024,133.5684,145.6728,129.7663,141.6125,16836854.85
4/15/2024,141.6825,156.1164,133.7168,138.5435,12387164.24
4/16/2024,138.5936,140.5994,126.6069,137.1674,12079632.99
4/17/2024,137.1674,142.66,126.8887,135.1351,12434129.53
4/18/2024,135.1611,141.6665,127.7843,141.1122,10043674.05
4/19/2024,140.9624,147.5308,128.6,144.4948,14365552.76
4/20/2024,144.6077,152.3682,139.7317,150.5851,6888523.178
4/21/2024,150.5152,153.4759,146.8607,148.9553,4974691.572
4/22/2024,148.9452,156.6261,146.8692,155.5152,5922228.425
4/23/2024,155.515,160.0047,153.1505,156.2754,4508525.171
4/24/2024,156.2868,159.7511,147.5452,149.5422,7393939.969
4/25/2024,149.6923,149.8119,142.0433,147.5243,6657850.019
4/26/2024,146.9947,147.0946,141.3323,142.737,4204163.664
4/27/2024,142.6656,142.9329,132.8861,140.5435,4312571.821
4/28/2024,140.5333,144.621,139.8841,141.2451,3191945.87
4/29/2024,141.2253,141.6575,133.4065,134.8901,4975701.148
4/30/2024,134.8496,139.6996,121.2885,125.6952,8204009.762
5/1/2024,125.6863,135.6614,118.7929,129.6152,9467096.938
5/2/2024,133.2699,140.0761,128.1532,138.5223,7332987.149
5/3/2024,138.547,144.9638,135.9886,143.1601,6779405.489
5/4/2024,142.8711,149.1218,142.36,146.4931,4089950.766
5/5/2024,146.5546,147.9862,143.2173,145.6476,2897584.203
5/6/2024,145.6574,156.8299,144.706,155.6632,6483057.884
5/7/2024,155.6715,157.9146,150.137,150.9655,4886166.679
5/8/2024,150.9955,151.197,139.9723,141.1761,4832310.698
5/9/2024,141.1563,151.4508,140.535,150.546,4365152.756
5/10/2024,150.526,155.6583,145.3136,146.174,4860178.499
5/11/2024,146.3662,147.6145,143.1369,145.5079,2614216.856
5/12/2024,145.5179,147.6809,142.6,143.6982,1726094.74
5/13/2024,143.6381,150.5698,137.8713,147.5239,5924401.756
5/14/2024,147.6737,148.9351,141.7848,143.2683,4641102.549
5/15/2024,143.2583,157.0193,141.1452,155.912,6665619.221
5/16/2024,155.8436,164.6268,155.5577,159.2042,6849637.431
5/17/2024,159.2042,172.0123,157.4227,167.9387,5886757.686
5/18/2024,167.9189,175.9951,167.457,172.5268,4194237.394
5/19/2024,172.5892,175.4823,166.2007,169.9182,3702105.943
5/20/2024,169.9199,188.2736,167.7299,184.8203,7188177.91
5/21/2024,184.7903,188.7609,174.3984,178.2737,7958982.258
5/22/2024,178.2737,183.2867,175.0011,180.3142,5845168.494
5/23/2024,180.2344,180.7914,167.321,178.7354,6901182.233
5/24/2024,178.6673,179.367,162.615,167.31,6913912.582
5/25/2024,167.3498,170.4541,165.8984,167.245,2741422.927
5/26/2024,167.4364,168.6112,160.9866,162.9245,4274458.665
5/27/2024,163.0281,172.0858,162.642,170.6059,6488035.369
5/28/2024,170.6059,172.9923,164.8845,168.807,7818537.991
5/29/2024,168.807,173.6995,167.0845,169.0939,4430967.462
5/30/2024,169.1538,172.5044,163.6319,166.8117,4154919.873
5/31/2024,166.8215,170.7625,163.8673,166.4218,3706533.224
6/1/2024,166.3136,167.7203,164.9831,166.9114,1562334.86
6/2/2024,166.9362,167.0827,161.653,162.5438,2344382.578
6/3/2024,162.5138,167.1665,161.7146,165.352,3394613.955
6/4/2024,165.322,170.3699,164.377,169.57,2420145.689
6/5/2024,169.67,175.5699,169.6101,173.1572,3924947.645
6/6/2024,173.1728,174.3556,168.0028,169.8457,2696785.466
6/7/2024,169.8857,172.5264,153.3603,162.4681,4178443.49
6/8/2024,162.46,163.6464,158.5212,158.8546,2586055.694
6/9/2024,158.8608,163.0103,156.5129,161.6059,2131786.322
6/10/2024,161.7361,163.1373,157.5742,159.507,2279801.79
6/11/2024,159.6168,159.6486,145.1602,149.3685,4756608.339
6/12/2024,149.2985,161.7622,145.5155,155.0889,4596696.977
6/13/2024,155.0789,155.5708,146.0148,147.9809,3220158.202
6/14/2024,147.9207,148.8947,139.5849,141.9401,4689352.196
6/15/2024,143.8891,145.6724,142.089,145.2388,2269420.988
6/16/2024,145.1673,149.3973,142.9885,149.0406,1983672.27
6/17/2024,149.0406,151.669,139.8247,143.0242,4537253.203
6/18/2024,143.0743,144.1265,128.197,137.5144,8127448.901
6/19/2024,137.4543,141.8146,134.6349,135.7156,5171923.165
6/20/2024,135.7156,141.1999,131.8702,133.6951,4884102
6/21/2024,133.5752,134.6934,128.6491,133.8462,4528702.063
6/22/2024,133.8671,136.4759,132.9847,134.3561,2147087.107
6/23/2024,134.3644,135.0262,129.2159,130.5099,1862200.346
6/24/2024,130.5098,131.2095,122.2332,130.7343,7522019.03
6/25/2024,130.7444,139.8297,130.0766,137.2654,6489622.778
6/26/2024,137.314,140.3366,134.824,137.5114,4401243.459
6/27/2024,137.504,150.9873,135.113,149.7592,6982100.088
6/28/2024,149.7592,150.4205,138.7729,140.0109,5120428.668
6/29/2024,140.0906,142.961,139.4104,140.4707,2842450.677
6/30/2024,140.4657,145.6494,136.9179,144.5042,3745909.512
7/1/2024,144.3845,149.011,144.2659,147.3362,4598691.774
7/2/2024,147.3661,153.755,145.8597,153.544,4467964.936
7/3/2024,153.8236,154.7335,139.1253,141.7324,5071702.255
7/4/2024,141.5826,142.5914,129.7549,134.5334,5857769.45
7/5/2024,134.8743,136.1687,121.1811,134.8909,8570057.556
7/6/2024,134.9007,144.0827,132.376,143.0344,4420235.761
7/7/2024,143.0328,144.0626,133.6667,134.4653,3821741.79
7/8/2024,134.3367,141.8401,127.9999,140.0674,6720519.161
7/9/2024,140.0274,144.1975,136.4755,142.4857,5224849.71
7/10/2024,142.4857,146.1663,138.6141,141.1488,3877515.611
7/11/2024,141.1386,145.831,135.7562,136.5397,5067263.074
7/12/2024,136.5972,140.5893,134.0381,138.1864,4679349.76
7/13/2024,138.1761,140.9767,138.0042,140.2539,1763280.526
7/14/2024,140.2553,148.2948,139.1349,148.0649,4857651.845
7/15/2024,148.0549,157.5329,146.6529,156.1381,5620971.158
7/16/2024,156.0981,162.5038,152.6543,160.5601,6239406.618
7/17/2024,160.5101,163.7938,154.9824,156.734,4658305.646
7/18/2024,156.7049,161.5917,155.1976,158.4184,3722956.453
7/19/2024,158.4183,172.0652,156.1989,168.0538,7508165.583
7/20/2024,168.1005,174.6041,167.3418,174.5334,3369628.384
7/21/2024,174.5449,184.7647,170.8404,184.1767,5572170.212
7/22/2024,184.2587,185.0267,176.8098,180.174,5117721.64
7/23/2024,180.134,180.5796,170.6455,173.0809,5970420.286
7/24/2024,173.1208,182.4181,170.9952,177.6097,5661133.758
7/25/2024,177.5881,179.5278,165.5302,172.2001,7409660.847
7/26/2024,171.8454,183.3087,171.0455,182.4899,5326552.668
7/27/2024,182.4099,188.2974,178.1595,183.0045,5572542.369
7/28/2024,185.9687,186.7231,181.1763,184.5435,3316456.235
7/29/2024,184.6034,193.8887,182.6164,183.5798,6635373.336
7/30/2024,183.6899,185.156,175.4573,179.6259,5480718.988
7/31/2024,179.6262,184.3077,172.5777,173.8875,3977206.167
8/1/2024,173.7673,173.8173,157.8961,166.1737,7395476.451
8/2/2024,166.2036,169.2443,149.8634,154.7319,7829413.551
8/3/2024,154.4122,154.7734,139.9905,142.58,7849024.251
8/4/2024,142.6402,145.9465,131.251,140.3692,9416407.825
8/5/2024,140.368,142.5687,109.9912,131.3149,32372442.29
8/6/2024,131.365,148.4312,129.4462,147.476,11980823.62
8/7/2024,147.456,155.0713,142.4084,146.4346,8404281.835
8/8/2024,146.3946,162.9465,141.4684,160.6982,4131012.468
8/9/2024,160.4981,163.7044,150.8287,154.1978,3335485.425
8/10/2024,154.2478,158.5802,152.5118,154.9793,2081707.333
8/11/2024,155.0594,157.982,143.1144,143.4642,3006773.99
8/12/2024,143.4544,150.8358,141.2114,143.5457,5468288.425
8/13/2024,143.5259,149.8314,142.9772,147.8078,3539251.18
8/14/2024,147.8378,152.1307,143.6516,143.7115,4157051.285
8/15/2024,143.7128,147.5858,137.8837,141.7154,4597495.506
8/16/2024,141.647,144.9086,136.2041,140.0993,4714046.449
8/17/2024,140.1279,141.7128,137.7129,141.2127,1794795.331
8/18/2024,141.1728,147.2489,140.6627,145.0591,2914504.494
8/19/2024,144.9689,146.1749,140.4424,143.7816,3149524.438
8/20/2024,143.7817,148.8144,141.0396,143.1015,3838058.424
8/21/2024,143.0913,144.3533,139.2312,143.4916,3161296.218
8/22/2024,143.5114,144.8704,140.758,143.4173,2221883.231
8/23/2024,143.3773,152.3518,142.7415,152.2303,3939644.464
8/24/2024,152.2201,162.3373,151.7016,157.6956,4684864.008
8/25/2024,157.565,161.5666,155.3528,161.3165,2823862.974
8/26/2024,161.3065,162.0068,156.0178,157.6685,3021928.391
8/27/2024,157.7383,159.6708,147.5611,149.2601,2586010.25
8/28/2024,149.14,149.4915,140.6127,143.3528,3229567.044
8/29/2024,143.293,147.342,138.6097,139.3987,3278129.005
8/30/2024,139.3485,141.0973,132.4294,136.4722,4653723.064
8/31/2024,136.4123,139.1779,134.5147,136.0027,1675234.452
9/1/2024,135.8235,136.194,130.1866,133.786,3018386.484
9/2/2024,133.8073,134.9658,126.9949,134.1471,4232245.761
9/3/2024,134.1373,137.2798,129.2947,130.0035,3150653.228
9/4/2024,129.8941,134.9101,122.6602,134.3352,4982887.793
9/5/2024,134.4053,135.1769,127.8786,129.5432,3199817.835
9/6/2024,129.5641,134.1973,120.6372,124.4553,6147253.878
9/7/2024,124.4553,129.4357,123.9254,126.7472,2466505.872
9/8/2024,126.7872,130.9316,126.4361,129.1572,2017189.864
9/9/2024,129.2187,136.9979,127.0236,135.2642,4359263.413
9/10/2024,135.2977,137.9748,132.556,135.3606,2815912.8
9/11/2024,135.4004,136.0804,128.2295,132.4318,3377463.055
9/12/2024,132.4018,136.6381,132.1507,135.3993,2574790.485
9/13/2024,135.4543,139.716,131.7735,138.8657,2588109.013
9/14/2024,138.8655,139.8598,135.687,137.2546,1596257.575
9/15/2024,137.2236,137.9463,131.7806,132.1212,1859008.551
9/16/2024,132.0827,132.3861,128.913,131.4351,2651978.507
9/17/2024,131.467,135.5421,130.2483,132.432,2843510.968
9/18/2024,132.472,132.9299,127.0898,131.404,3617975.936
9/19/2024,131.194,144.0157,130.7852,141.8555,5154729.85
9/20/2024,141.8357,152.2863,141.1327,147.0933,5778233.137
9/21/2024,147.0794,149.3658,144.6301,148.1148,2047254.486
9/22/2024,148.0748,149.8934,142.1187,142.1899,2204416.069
9/23/2024,142.1559,148.9753,141.1598,144.2741,3662881.286
9/24/2024,144.2286,149.2724,143.0943,148.7427,4046052.678
9/25/2024,148.6626,153.9308,148.6412,149.5147,4340276.804
9/26/2024,149.4145,157.9501,146.5348,155.4656,4749108.071
9/27/2024,155.4754,161.1638,153.9993,157.6584,4032932.565
9/28/2024,157.8785,158.8605,155.1002,156.5372,1608579.741
9/29/2024,156.6188,161.8108,155.0725,159.8759,2405217.445
9/30/2024,159.9879,160.9164,153.81,155.7202,3056756.939
10/1/2024,155.7002,157.3163,142.2573,146.232,5382947.945
10/2/2024,146.212,148.9157,138.5853,140.7934,3892258.028
10/3/2024,140.7834,142.9257,133.1041,137.1035,3855612.267
10/4/2024,137.1135,144.5341,135.9269,143.5686,3488053.763
10/5/2024,143.497,144.9028,141.0973,141.6687,1539914.812
10/6/2024,141.6687,146.6166,141.6174,144.2955,1444044.526
10/7/2024,144.3256,152.264,144.2856,146.766,3657295.525
